央视频道,#genre#
CCTV1综合,http://219.156.28.8:9999/udp/225.1.4.73:1102
CCTV1综合,http://219.156.28.8:9999/udp/225.1.4.1:1030
CCTV2财经,http://219.156.28.8:9999/udp/225.1.4.74:1103
CCTV2财经,http://219.156.28.8:9999/udp/225.1.4.2:1031
CCTV3综艺,http://219.156.28.8:9999/udp/225.1.4.158:1194
CCTV3综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV3综艺,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/4/224/3221228392/index.m3u8
CCTV4中文国际,http://219.156.28.8:9999/udp/225.1.5.30:1333
CCTV4中文国际,http://219.156.28.8:9999/udp/225.1.4.4:1033
CCTV5体育,http://219.156.28.8:9999/udp/225.1.4.159:1195
CCTV6电影,http://219.156.28.8:9999/udp/225.1.4.160:1196
CCTV7国防军事,http://219.156.28.8:9999/udp/225.1.4.76:1105
CCTV7国防军事,http://219.156.28.8:9999/udp/225.1.4.7:1036
CCTV8电视剧,http://219.156.28.8:9999/udp/225.1.4.161:1197
CCTV9记录,http://219.156.28.8:9999/udp/225.1.4.77:1106
CCTV9记录,http://219.156.28.8:9999/udp/225.1.4.9:1038
CCTV10科教,http://219.156.28.8:9999/udp/225.1.4.78:1107
CCTV10科教,http://219.156.28.8:9999/udp/225.1.4.10:1039
CCTV11戏曲,http://219.156.28.8:9999/udp/225.1.4.215:1268
CCTV11戏曲,http://219.156.28.8:9999/udp/225.1.4.11:1040
CCTV12社会与法,http://219.156.28.8:9999/udp/225.1.4.79:1108
CCTV12社会与法,http://219.156.28.8:9999/udp/225.1.4.12:1041
CCTV13新闻,http://219.156.28.8:9999/udp/225.1.4.113:1293
CCTV13新闻,http://219.156.28.8:9999/udp/225.1.4.13:1042
CCTV14少儿,http://219.156.28.8:9999/udp/225.1.4.80:1109
CCTV14少儿,http://219.156.28.8:9999/udp/225.1.4.14:1043
CCTV15音乐,http://219.156.28.8:9999/udp/225.1.4.216:1269
CCTV15音乐,http://219.156.28.8:9999/udp/225.1.4.15:1044
CCTV16奥林匹克,http://[2409:8087:2001:20:2800:0:df6e:eb17]:80/ott.mobaibox.com/PLTV/4/224/3221228112/1.m3u8
CCTV16奥林匹克,http://[2409:8087:2001:20:2800:0:df6e:eb0b]/ott.js.chinamobile.com/PLTV/3/224/3221228144/1.m3u8
CCTV16奥林匹克,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/1.m3u8
CCTV16奥林匹克,http://219.156.28.8:9999/udp/225.1.5.46:1356
CCTV17农业农村,http://219.156.28.8:9999/udp/225.1.4.226:2506
CCTV17农业农村,http://219.156.28.8:9999/udp/225.1.4.227:2507
CCTV5+体育赛事,http://219.156.28.8:9999/udp/225.1.4.75:1104
卫视直播,#genre#
安徽卫视,http://219.156.28.8:9999/udp/225.1.4.87:1116
安徽卫视,http://219.156.28.8:9999/udp/225.1.4.20:1049
北京卫视,http://219.156.28.8:9999/udp/225.1.4.81:1110
北京卫视,http://219.156.28.8:9999/udp/225.1.4.21:1050
重庆卫视,http://219.156.28.8:9999/udp/225.1.4.157:1308
重庆卫视,http://219.156.28.8:9999/udp/225.1.4.29:1058
东方卫视,http://219.156.28.8:9999/udp/225.1.4.85:1114
东方卫视,http://219.156.28.8:9999/udp/225.1.4.22:1051
东南卫视,http://219.156.28.8:9999/udp/225.1.4.228:1274
东南卫视,http://219.156.28.8:9999/udp/225.1.4.32:1061
甘肃卫视,http://219.156.28.8:9999/udp/225.1.4.42:1071
广东卫视,http://219.156.28.8:9999/udp/225.1.4.166:1207
广东卫视,http://219.156.28.8:9999/udp/225.1.4.30:1059
广西卫视,http://219.156.28.8:9999/udp/225.1.4.31:1060
贵州卫视,http://219.156.28.8:9999/udp/225.1.4.122:1302
贵州卫视,http://219.156.28.8:9999/udp/225.1.4.41:1070
海南卫视,http://219.156.28.8:9999/udp/225.1.4.195:1310
海南卫视,http://219.156.28.8:9999/udp/225.1.4.25:1054
河北卫视,http://219.156.28.8:9999/udp/225.1.4.123:1304
河北卫视,http://219.156.28.8:9999/udp/225.1.4.34:1063
河南卫视,http://219.156.28.8:9999/udp/225.1.5.45:1355
河南卫视,http://219.156.28.8:9999/udp/225.1.4.51:1080
黑龙江卫视,http://219.156.28.8:9999/udp/225.1.4.91:1120
黑龙江卫视,http://219.156.28.8:9999/udp/225.1.4.28:1057
湖北卫视,http://219.156.28.8:9999/udp/225.1.4.89:1118
湖北卫视,http://219.156.28.8:9999/udp/225.1.4.35:1064
湖南卫视,http://219.156.28.8:9999/udp/225.1.4.82:1111
湖南卫视,http://219.156.28.8:9999/udp/225.1.4.17:1046
吉林卫视,http://219.156.28.8:9999/udp/225.1.4.174:1309
吉林卫视,http://219.156.28.8:9999/udp/225.1.4.36:1065
江苏卫视,http://219.156.28.8:9999/udp/225.1.4.83:1112
江苏卫视,http://219.156.28.8:9999/udp/225.1.4.18:1047
江西卫视,http://219.156.28.8:9999/udp/225.1.4.139:1305
江西卫视,http://219.156.28.8:9999/udp/225.1.4.37:1066
辽宁卫视,http://219.156.28.8:9999/udp/225.1.4.167:1208
辽宁卫视,http://219.156.28.8:9999/udp/225.1.4.26:1055
内蒙古卫视,http://219.156.28.8:9999/udp/225.1.4.45:1074
宁夏卫视,http://219.156.28.8:9999/udp/225.1.4.43:1072
青海卫视,http://219.156.28.8:9999/udp/225.1.4.44:1073
三沙卫视,http://219.156.28.8:9999/udp/225.1.4.234:1280
厦门卫视,http://219.156.28.8:9999/udp/225.1.4.95:1124
山东卫视,http://219.156.28.8:9999/udp/225.1.4.88:1117
山东卫视,http://219.156.28.8:9999/udp/225.1.4.27:1056
山西卫视,http://219.156.28.8:9999/udp/225.1.4.38:1067
陕西卫视,http://219.156.28.8:9999/udp/225.1.4.39:1068
深圳卫视,http://219.156.28.8:9999/udp/225.1.4.90:1119
深圳卫视,http://219.156.28.8:9999/udp/225.1.4.23:1052
